Date,^GSPC,DJI,Nikkei,IBEX,VIX
2015-05-19,2127.830078125,18312.390625,20026.380859375,11497.6884765625,12.850000381469727
2015-05-20,2125.85009765625,18285.400390625,20196.560546875,11574.087890625,12.880000114440918
2015-05-21,2130.820068359375,18285.740234375,20202.869140625,11595.388671875,12.109999656677246
2015-05-22,2126.06005859375,18232.01953125,20264.41015625,11554.1884765625,12.130000114440918
2015-05-26,2104.199951171875,18041.5390625,20437.48046875,11240.2880859375,14.0600004196167
2015-05-27,2123.47998046875,18162.990234375,20472.580078125,11431.087890625,13.270000457763672
2015-05-28,2120.7900390625,18126.119140625,20551.4609375,11382.7880859375,13.3100004196167
2015-05-29,2107.389892578125,18010.6796875,20563.150390625,11217.587890625,13.84000015258789
2015-06-01,2111.72998046875,18040.369140625,20569.869140625,11238.087890625,13.970000267028809
2015-06-02,2109.60009765625,18011.939453125,20543.189453125,11271.388671875,14.239999771118164
2015-06-03,2114.070068359375,18076.26953125,20473.509765625,11267.587890625,13.65999984741211
2015-06-04,2095.840087890625,17905.580078125,20488.189453125,11146.087890625,14.710000038146973
2015-06-05,2092.830078125,17849.4609375,20460.900390625,11061.9892578125,14.210000038146973
2015-06-08,2079.280029296875,17766.55078125,20457.189453125,10917.2890625,15.289999961853027
2015-06-09,2080.14990234375,17764.0390625,20096.30078125,10938.0888671875,14.470000267028809
2015-06-10,2105.199951171875,18000.400390625,20046.359375,11097.48828125,13.220000267028809
2015-06-11,2108.860107421875,18039.369140625,20382.970703125,11156.6884765625,12.850000381469727
2015-06-12,2094.110107421875,17898.83984375,20407.080078125,11030.4892578125,13.779999732971191
2015-06-15,2084.429931640625,17791.169921875,20387.7890625,10842.0888671875,15.390000343322754
2015-06-16,2096.2900390625,17904.48046875,20257.939453125,10871.3896484375,14.8100004196167
2015-06-17,2100.43994140625,17935.740234375,20219.26953125,10813.3896484375,14.5
2015-06-18,2121.239990234375,18115.83984375,19990.8203125,10871.8896484375,13.1899995803833
2015-06-19,2109.989990234375,18015.94921875,20174.240234375,10944.2890625,13.960000038146973
2015-06-22,2122.85009765625,18119.779296875,20428.189453125,11368.1884765625,12.739999771118164
2015-06-23,2124.199951171875,18144.0703125,20809.419921875,11402.48828125,12.109999656677246
2015-06-24,2108.580078125,17966.0703125,20868.029296875,11321.888671875,13.260000228881836
2015-06-25,2102.31005859375,17890.359375,20771.400390625,11308.388671875,14.010000228881836
2015-06-26,2101.489990234375,17946.6796875,20706.150390625,11372.2880859375,14.020000457763672
2015-06-29,2057.639892578125,17596.349609375,20109.94921875,10853.8896484375,18.850000381469727
